id,predicted_lgbm,predicted_cat,predicted_xgb,predicted_bern,predicted_logreg,predicted_rf,predicted_svc,predicted_knn,y
1,0.936111030508764,0.9626460109829036,0.8273329,0.9423821973016552,0.8494984311609107,0.7473980594448539,1.0,0.4,1
8,0.0674547354477053,0.0574867184237773,-0.058007173,0.00296670357583,0.018406062145041,0.1971156568836046,0.0,0.0,0
30,0.5977155495722474,0.5134436480996821,0.38211885,0.8062065181182433,0.7218072259437034,0.4687763157894737,0.0,0.2,0
43,0.1602354929553374,0.3696555439508976,0.12303623,0.3853984337933275,0.0637915470267144,0.1192143242252199,0.0,0.0,0
46,0.9231548257554464,0.9605505801393478,0.95576036,0.9147095671079436,0.8329308269461628,0.71953125,1.0,0.2,1
65,0.0222829691413243,0.120292936585885,-0.0698276,0.0217249914312948,0.0163720260876699,0.06,0.0,0.0,0
69,0.6473963932273696,0.7720099824643923,0.65074575,0.6092774645000089,0.5571178028092938,0.5403333333333333,1.0,0.2,0
84,0.0137364179451369,0.0363465143834632,-0.062379934,0.0684677575516222,0.0879460061677564,0.07,0.0,0.4,0
97,0.341153904785994,0.7092987760793213,0.47265124,0.7075315956807997,0.6473133547278959,0.387191011235955,1.0,1.0,0
99,0.0894559191615066,0.2292786470236232,0.08373982,0.2504695393594732,0.093714023059354,0.1367360311831987,0.0,0.0,0
102,0.2016156194723727,0.170927092100175,0.07740064,0.647591523805667,0.1629379308927896,0.1489765528241301,0.0,0.0,0
115,0.8930579827562426,0.95731445705102,0.8164454,0.6921821837222178,0.7065715985461798,0.6783500000000001,0.0,0.2,1
119,0.0434464427253885,0.1193452795154567,0.39316955,0.0579723855301644,0.2897757947463228,0.14,0.0,0.2,0
126,0.0268650119302514,0.0724699148968643,0.14706026,0.0022885997604225,0.0118923987870476,0.08,0.0,0.2,0
132,0.1610978609372781,0.274996420264817,0.27755848,1.1736326628026851e-08,0.1892953592468718,0.3,0.0,0.2,1
145,0.7791202618470096,0.8369301319642541,0.69777066,0.8912632954499723,0.7795419766111101,0.5798591549295774,1.0,0.8,1
146,0.5777750468366254,0.6521922806154371,0.42145497,0.908601970657476,0.6056230120204236,0.4129498050788029,0.0,0.0,0
149,0.077031280779212,0.2891158211530299,0.29181522,0.0073637516473944,0.0158808396993547,0.09,0.0,0.0,1
160,0.4810300559543966,0.4838532899600353,0.24207206,0.4149602634035002,0.2691308936795071,0.269526505425782,0.0,0.0,0
161,0.6640056164826484,0.7027987305505389,0.47071582,0.711852713252165,0.5733710646968889,0.3716666666666666,0.0,0.0,0
197,0.7591656439930419,0.7327671437955895,0.5538424,0.3886802051373472,0.1798647419638338,0.4094381038207921,0.0,0.4,1
206,0.1259096219551126,0.1445427002129621,0.15130539,0.3409381227235244,0.1121887635086708,0.2197703039014513,0.0,0.0,0
