id,predicted_xgb
1.0,0.8273329
6.0,0.046447054
8.0,-0.058007173
10.0,0.14598684
11.0,0.23075595
14.0,-0.020984875
16.0,0.1356841
17.0,0.17241918
19.0,0.011615479
20.0,0.059920352
22.0,0.07103534
28.0,0.2125284
30.0,0.38211885
33.0,0.14952497
39.0,0.07126921
42.0,0.06499813
43.0,0.12303623
46.0,0.95576036
50.0,0.13023542
51.0,0.022005588
53.0,0.10191928
61.0,0.04295915
62.0,0.2446926
65.0,-0.0698276
69.0,0.65074575
70.0,-0.058805156
71.0,0.076065846
72.0,0.040240947
74.0,-0.020016938
81.0,0.027664738
84.0,-0.062379934
85.0,0.08393747
87.0,0.13067223
94.0,-0.0065278583
95.0,0.10316838
97.0,0.47265124
98.0,0.022642761
99.0,0.08373982
102.0,0.07740064
106.0,0.080598034
115.0,0.8164454
116.0,0.13455702
117.0,0.06420928
118.0,0.03449002
119.0,0.39316955
122.0,0.09844726
126.0,0.14706026
127.0,0.3501955
130.0,0.057121307
131.0,-0.019746462
132.0,0.27755848
133.0,0.019995661
135.0,-0.062431354
139.0,0.09594413
142.0,0.03402682
145.0,0.69777066
146.0,0.42145497
147.0,0.00025023666
149.0,0.29181522
156.0,0.20457944
159.0,-0.0020716412
160.0,0.24207206
161.0,0.47071582
163.0,0.15366721
169.0,-0.03719263
172.0,-0.043527648
174.0,0.28360793
178.0,0.31309673
180.0,0.24048865
182.0,0.08206799
185.0,0.18378681
188.0,0.01217966
191.0,0.263533
196.0,0.49853536
197.0,0.5538424
198.0,0.031579547
202.0,0.17861117
203.0,0.2763205
205.0,0.12952653
206.0,0.15130539
207.0,0.11682285
211.0,0.19512674
213.0,-0.042145804
214.0,0.04398299
215.0,0.090182416
216.0,0.046218403
218.0,0.067335136
221.0,0.11340436
226.0,0.892027
229.0,0.03351203
230.0,0.0896777
235.0,-0.008937633
236.0,0.24105342
238.0,0.12364514
239.0,0.70602936
241.0,0.16334298
242.0,0.43188575
244.0,0.079214945
245.0,0.2140327
249.0,0.03314863
251.0,0.12319017
253.0,-0.003619354
254.0,0.08851556
255.0,0.1422256
256.0,0.020090034
261.0,0.09963167
266.0,-0.03634733
267.0,0.0009697918
268.0,0.5123063
271.0,0.34155264
273.0,0.1719779
274.0,0.07110004
277.0,0.22446698
279.0,-0.03361272
281.0,0.0054466343
284.0,0.08870838
286.0,0.4018231
294.0,0.19236246
298.0,0.44393677
300.0,0.19277954
308.0,-0.04818967
313.0,0.124568574
314.0,0.13499852
317.0,0.7271183
320.0,0.7083866
321.0,0.18354249
327.0,0.24315053
329.0,0.6209516
330.0,0.34890345
337.0,-0.009165667
339.0,-0.02342994
340.0,0.1355035
343.0,0.07405013
344.0,0.3036913
345.0,0.1106635
347.0,0.18569863
351.0,0.032970965
352.0,-0.018458674
355.0,0.20960005
356.0,0.13489953
357.0,0.069375694
358.0,0.004918636
366.0,0.11614292
368.0,0.35383573
372.0,0.09587024
373.0,0.12334798
379.0,0.6659797
381.0,0.36794418
383.0,0.015638437
390.0,0.53150964
391.0,0.052947536
394.0,0.0075590913
399.0,0.014780681
403.0,0.17407846
404.0,0.28362405
406.0,0.033483237
408.0,0.00064394006
409.0,0.06327501
410.0,0.24659893
411.0,0.03922779
415.0,0.31134877
417.0,0.18568978
418.0,0.7445647
422.0,0.103626676
424.0,0.20375189
426.0,1.0506476
428.0,0.060203522
431.0,0.096453615
432.0,0.046042267
433.0,0.7546317
435.0,0.9870989
436.0,0.20976424
438.0,0.37248814
440.0,-0.034600142
441.0,0.55271393
442.0,0.74903554
443.0,0.025537273
444.0,0.19938996
447.0,0.30925745
451.0,0.025252264
453.0,0.025547607
457.0,0.52935344
460.0,0.34954986
462.0,0.1712562
463.0,0.7071868
464.0,-0.03332474
467.0,-0.008791458
468.0,0.29173818
471.0,0.21572542
475.0,-0.018625122
477.0,0.250535
478.0,0.16777799
479.0,0.1345442
482.0,0.10852528
485.0,-0.05955838
488.0,0.5564223
494.0,0.47918963
495.0,0.4036478
496.0,0.08492129
497.0,0.3650998
498.0,-0.014271356
500.0,0.20268127
501.0,-0.027055873
505.0,0.038902268
510.0,0.006193293
512.0,0.20108196
513.0,0.83409137
515.0,0.41883
516.0,0.013562157
517.0,-0.011695709
518.0,0.15286644
519.0,-0.023972707
521.0,0.09673963
522.0,0.048504375
524.0,0.06957497
528.0,0.107389696
529.0,0.97982454
533.0,0.13540389
535.0,0.017011361
536.0,0.25636545
537.0,0.11541345
538.0,-0.1134878
539.0,0.10967891
549.0,0.7424158
550.0,0.0975296
551.0,0.037193708
552.0,0.75291467
560.0,0.0064742
562.0,0.11887747
564.0,0.12049873
565.0,0.10113489
567.0,0.82756275
568.0,0.069381215
569.0,0.06783478
570.0,0.0018211298
574.0,0.09485006
576.0,0.5134467
578.0,0.0005119144
579.0,0.45783958
580.0,0.025789373
585.0,0.06873277
590.0,0.15075551
594.0,0.07405806
595.0,0.48610428
597.0,0.16422333
603.0,-0.0035522326
604.0,0.19457562
609.0,0.08495563
610.0,0.045579527
611.0,0.0028907785
612.0,0.03831777
614.0,0.89270693
621.0,0.19629179
622.0,0.68389696
624.0,0.09636713
633.0,0.49502334
634.0,0.050934695
635.0,0.13262554
636.0,0.21757334
637.0,0.13853571
639.0,0.049332835
643.0,0.0074084015
644.0,0.12277175
645.0,0.7285042
647.0,-0.022340199
651.0,0.025831016
652.0,0.1036967
653.0,0.107703805
654.0,0.02972193
658.0,0.015595163
660.0,0.9213745
662.0,0.13604407
664.0,0.040519692
665.0,0.35518005
667.0,0.91209626
669.0,-0.0032826746
670.0,0.1552251
673.0,0.13832976
674.0,0.54928523
676.0,0.8391854
677.0,0.013212428
679.0,0.049452856
680.0,0.040718734
681.0,-0.009215277
682.0,0.013794123
684.0,0.4757347
685.0,0.8650315
687.0,0.025355505
690.0,-0.0037847077
693.0,0.04985032
695.0,0.23819926
696.0,0.01763021
699.0,0.14172767
700.0,0.6268611
701.0,-0.013643881
703.0,0.08533424
704.0,0.12730329
705.0,0.051028635
709.0,0.5637349
710.0,0.94528633
711.0,0.017043654
713.0,0.52355456
715.0,0.019679768
717.0,0.07481784
718.0,0.058761273
721.0,0.13108376
722.0,0.57648623
724.0,0.13453934
728.0,-0.0052183345
731.0,0.024810422
734.0,0.2083137
737.0,0.20069648
738.0,0.16774674
739.0,0.20116882
740.0,0.26170814
741.0,0.12983726
747.0,0.24474001
755.0,0.07503489
757.0,0.61405146
759.0,0.06928777
760.0,0.17217314
761.0,0.029729454
765.0,0.98549056
766.0,0.05291621
767.0,0.957171
768.0,-0.03999378
769.0,0.14821532
770.0,0.10937391
771.0,0.015530146
772.0,0.83023095
775.0,-0.09138664
776.0,-0.03272881
777.0,0.46689907
780.0,0.005153695
782.0,0.19574867
783.0,0.050757024
785.0,-0.0431807
789.0,0.16980268
790.0,0.088205874
793.0,-0.030325279
794.0,0.6158859
796.0,-0.0262943
797.0,0.021986334
798.0,0.42565963
799.0,0.7053837
800.0,0.16618925
804.0,0.12765685
808.0,0.32871088
809.0,0.06770682
811.0,-0.10862376
812.0,0.014818649
814.0,0.5762874
816.0,0.12294466
818.0,0.9369135
820.0,0.19741233
821.0,0.19538964
822.0,-0.0014867147
829.0,0.10218631
832.0,-0.01070304
834.0,0.13793194
838.0,0.9147358
840.0,0.00017055101
842.0,0.028378626
843.0,0.37931734
844.0,0.21107478
846.0,0.66529644
847.0,0.6631901
850.0,0.056403417
851.0,0.052441794
853.0,0.5018887
854.0,0.0056556268
855.0,0.050758146
857.0,0.21617952
